Standard Commons Logging discovery in action with spring-jcl: please remove commons-logging.jar from classpath in order to avoid potential conflicts

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2025-11-03T19:35:01.586+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/LoginHistoryController.class]
2025-11-03T19:35:01.586+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/MediaFilesController.class]
2025-11-03T19:35:01.587+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/MyPetsController.class]
2025-11-03T19:35:01.587+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/PetRecordsController.class]
2025-11-03T19:35:01.587+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/PetsController.class]
2025-11-03T19:35:01.587+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/ShelterController.class]
2025-11-03T19:35:01.613+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/UsersController.class]
2025-11-03T19:35:01.617+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/BeanUtilsConfig.class]
2025-11-03T19:35:01.618+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/CorsConfig.class]
2025-11-03T19:35:01.618+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/JacksonConfig.class]
2025-11-03T19:35:01.618+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/JwtProperties.class]
2025-11-03T19:35:01.621+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/MyBatisPlusConfig.class]
2025-11-03T19:35:01.621+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/MyMetaObjectHandler.class]
2025-11-03T19:35:01.627+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/SecurityConfig.class]
2025-11-03T19:35:01.628+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/SwaggerConfig.class]
2025-11-03T19:35:01.628+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/PetCommonApplication.class]
2025-11-03T19:35:01.628+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/utils/BeanUtilsHelper.class]
2025-11-03T19:35:01.635+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/config/WebMvcConfiguration.class]
2025-11-03T19:35:01.635+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/config/WebSocketConfiguration.class]
2025-11-03T19:35:01.642+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/handler/GlobalExceptionHandler.class]
2025-11-03T19:35:01.643+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/interceptor/UserContextInterceptor.class]
2025-11-03T19:35:01.645+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/PetServiceApplication.class]
2025-11-03T19:35:01.647+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/AdoptionsServiceImpl.class]
2025-11-03T19:35:01.647+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/ArticlesServiceImpl.class]
2025-11-03T19:35:01.650+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/FosterServiceImpl.class]
2025-11-03T19:35:01.650+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/HealthAlertsServiceImpl.class]
2025-11-03T19:35:01.650+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/HealthServiceImpl.class]
2025-11-03T19:35:01.651+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/ListPetsServiceImpl.class]
2025-11-03T19:35:01.651+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/LoginHistoryServiceImpl.class]
2025-11-03T19:35:01.651+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/MediaFilesServiceImpl.class]
2025-11-03T19:35:01.651+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/PetRecordsServiceImpl.class]
2025-11-03T19:35:01.651+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/PetsServiceImpl.class]
2025-11-03T19:35:01.651+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/ShelterServiceImpl.class]
2025-11-03T19:35:01.652+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/UsersServiceImpl.class]
2025-11-03T19:35:01.655+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/task/HealthAlertTask.class]
2025-11-03T19:35:01.655+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/task/PetTask.class]
2025-11-03T19:35:01.655+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/task/WebSocketTask.class]
2025-11-03T19:35:01.660+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/websocket/WebSocketServer.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/BeanUtilsConfig.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/CorsConfig.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/JacksonConfig.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/JwtProperties.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/MyBatisPlusConfig.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/MyMetaObjectHandler.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/SecurityConfig.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/config/SwaggerConfig.class]
2025-11-03T19:35:01.737+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-common-0.0.1-SNAPSHOT.jar!/com/example/petcommon/utils/BeanUtilsHelper.class]
2025-11-03T19:35:01.749+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/config/WebMvcConfiguration.class]
2025-11-03T19:35:01.750+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/config/WebSocketConfiguration.class]
2025-11-03T19:35:01.750+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/handler/GlobalExceptionHandler.class]
2025-11-03T19:35:01.750+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/interceptor/UserContextInterceptor.class]
2025-11-03T19:35:01.750+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/AdoptionsServiceImpl.class]
2025-11-03T19:35:01.750+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/ArticlesServiceImpl.class]
2025-11-03T19:35:01.750+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/FosterServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/HealthAlertsServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/HealthServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/ListPetsServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/LoginHistoryServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/MediaFilesServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/PetRecordsServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/PetsServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/ShelterServiceImpl.class]
2025-11-03T19:35:01.751+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/lib/pet-service-0.0.1-SNAPSHOT.jar!/com/example/petservice/service/impl/UsersServiceImpl.class]
